"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 21 00:37:40 GMT 2024","Mon Oct 21 00:37:51 GMT 2024","10676","chromium","SmokeTests.spec.js","","","","SubCategory Filter",""
"failed","Mon Oct 21 00:37:54 GMT 2024","Mon Oct 21 00:37:55 GMT 2024","982","chromium","SmokeTests.spec.js","","","","Discount Check",""
"passed","Mon Oct 21 00:37:51 GMT 2024","Mon Oct 21 00:37:54 GMT 2024","3198","chromium","SmokeTests.spec.js","","","","View Pricing",""
"passed","Mon Oct 21 00:37:54 GMT 2024","Mon Oct 21 00:37:54 GMT 2024","379","chromium","SmokeTests.spec.js","","","","Change Quantity",""
