"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 18 00:35:36 GMT 2024","Fri Oct 18 00:35:47 GMT 2024","11212","chromium","SmokeTests.spec.js","","","","SubCategory Filter",""
"passed","Fri Oct 18 00:35:49 GMT 2024","Fri Oct 18 00:35:50 GMT 2024","331","chromium","SmokeTests.spec.js","","","","Change Quantity",""
"failed","Fri Oct 18 00:35:50 GMT 2024","Fri Oct 18 00:35:50 GMT 2024","417","chromium","SmokeTests.spec.js","","","","Discount Check",""
"passed","Fri Oct 18 00:35:47 GMT 2024","Fri Oct 18 00:35:49 GMT 2024","2450","chromium","SmokeTests.spec.js","","","","View Pricing",""
